,start_forecast,n_samples,offset_model,RMSE,MSE,MAE,actual_event,expected_event
experienced-lorene,2020-09-03 06:30:00,819970,,0.75601214,0.71178865,0.54860014,72.0,
formal-virginie,2020-09-03 06:30:00,819970,-1 days +12:00:00,0.6920493,0.60225946,0.4967198,72.0,-12.0
circular-joline,2020-09-03 06:30:00,819970,-1 days +00:00:00,0.69364405,0.6051982,0.49755958,72.0,-24.0
inherent-jaimie,2020-09-06 18:30:00,821650,,0.8407569,0.8500889,0.6042859,3.0,
controlled-johnath,2020-09-06 18:30:00,821650,-1 days +12:00:00,0.7862079,0.75962096,0.5600779,3.0,-12.0
nearby-vivie,2020-09-06 18:30:00,821650,-1 days +00:00:00,0.7517039,0.7034114,0.5352678,3.0,-24.0
excited-alayne,2020-09-07 06:30:00,821890,,0.97621393,1.1117061,0.7164423,-9.0,
xeric-addia,2020-09-07 06:30:00,821890,-1 days +12:00:00,0.7088146,0.64090115,0.50317055,-9.0,-12.0
supposed-cindelyn,2020-09-07 06:30:00,821890,-1 days +00:00:00,0.69738317,0.6222418,0.49337468,-9.0,-24.0
